,compound,neutral,negative,positive
6342,-0.1531,0.848,0.084,0.069
6343,-0.9641,0.825,0.127,0.048
6344,-0.9776,0.793,0.16,0.048
6345,0.9977,0.811,0.077,0.112
6346,-0.9246,0.857,0.143,0.0
6347,-0.9153,0.861,0.117,0.022
6348,-0.9971,0.877,0.084,0.039
6349,0.9945,0.823,0.057,0.119
6350,-0.7783,0.895,0.105,0.0
6351,0.9846,0.82,0.029,0.151
6352,-0.1381,0.777,0.109,0.114
6353,0.796,0.887,0.042,0.071
6354,0.2112,0.865,0.062,0.073
6355,0.658,0.669,0.144,0.187
6356,-0.9955,0.835,0.155,0.009
6357,0.3252,0.887,0.047,0.066
6358,0.8468,0.822,0.067,0.11
6359,-0.6486,0.864,0.106,0.03
6360,-0.7269,0.888,0.091,0.021
6361,0.6351,0.769,0.089,0.142
6362,-0.7783,0.845,0.155,0.0
6363,0.7449,0.791,0.092,0.118
6364,0.3252,0.887,0.047,0.066
6365,-0.9321,0.819,0.142,0.039
6366,0.97,0.784,0.087,0.129
6367,0.9976,0.809,0.079,0.112
6368,0.8184,0.803,0.086,0.112
6369,-0.8658,0.862,0.108,0.03
6370,-0.7783,0.877,0.123,0.0
6371,-0.5455,0.791,0.102,0.107
6372,-0.9915,0.864,0.104,0.032
6373,0.9871,0.848,0.06,0.092
6374,0.9549,0.853,0.054,0.092
6375,-0.6486,0.841,0.114,0.045
6376,0.6249,0.799,0.082,0.12
6377,0.7645,0.835,0.068,0.097
6378,-0.7783,0.85,0.15,0.0
6379,-0.9894,0.796,0.167,0.037
6380,0.2714,0.796,0.107,0.097
6381,-0.7783,0.827,0.173,0.0
6382,-0.9059,0.8,0.13,0.071
6383,-0.8555,0.811,0.189,0.0
6384,-0.9244,0.79,0.142,0.068
6385,-0.1945,0.877,0.063,0.061
6386,-0.8525,0.842,0.086,0.071
6387,-0.8519,0.87,0.115,0.015
6388,0.9733,0.817,0.059,0.124
6389,0.9627,0.795,0.072,0.133
6390,-0.9498,0.825,0.137,0.038
6391,0.9964,0.784,0.059,0.157
6392,-0.8442,0.78,0.189,0.031
6393,-0.936,0.795,0.165,0.04
6394,-0.8182,0.848,0.098,0.054
6395,-0.9393,0.881,0.094,0.025
6396,-0.9898,0.736,0.204,0.059
6397,0.9753,0.763,0.05,0.187
6398,-0.9898,0.735,0.205,0.059
6399,-0.8883,0.821,0.153,0.026
6400,-0.7783,0.876,0.124,0.0
6401,-0.6174,0.853,0.08,0.067
6402,-0.7854,0.801,0.116,0.084
6403,-0.804,0.808,0.101,0.09
6404,0.6416,0.848,0.064,0.088
6405,0.8054,0.806,0.088,0.106
6406,-0.837,0.85,0.085,0.064
6407,-0.8121,0.811,0.109,0.08
6408,0.7739,0.889,0.053,0.058
6409,0.9781,0.853,0.044,0.103
6410,-0.9397,0.788,0.108,0.104
6411,-0.9906,0.788,0.13,0.082
6412,-0.8827,0.791,0.105,0.104
6413,0.9118,0.846,0.045,0.109
6414,-0.7783,0.822,0.114,0.065
6415,-0.814,0.875,0.067,0.058
6416,-0.8156,0.888,0.112,0.0
6417,0.9615,0.876,0.049,0.075
6418,0.9967,0.795,0.055,0.15
6419,0.1779,0.767,0.118,0.114
6420,0.0258,0.857,0.075,0.068
6421,0.9901,0.88,0.033,0.087
6422,0.9363,0.789,0.072,0.139
6423,-0.7418,0.848,0.124,0.028
6424,0.9707,0.865,0.046,0.089
6425,-0.765,0.871,0.104,0.026
6426,-0.7783,0.827,0.173,0.0
6427,0.9938,0.784,0.083,0.133
6428,-0.7783,0.887,0.113,0.0
6429,0.9976,0.779,0.054,0.167
6430,0.9944,0.839,0.06,0.101
6431,-0.7783,0.827,0.173,0.0
6432,-0.7783,0.823,0.177,0.0
6433,0.9945,0.779,0.083,0.138
6434,0.9975,0.861,0.034,0.105
6435,-0.9792,0.794,0.19,0.016
6436,-0.7713,0.864,0.097,0.039
6437,-0.9697,0.835,0.145,0.02
6438,0.89,0.896,0.045,0.059
6439,-0.8847,0.83,0.119,0.051
6440,-0.9896,0.861,0.107,0.032
6441,-0.9864,0.729,0.262,0.009
6442,-0.9987,0.825,0.114,0.061
6443,0.8296,0.733,0.119,0.148
6444,-0.9738,0.803,0.163,0.035
6445,0.9605,0.797,0.087,0.116
6446,-0.8251,0.881,0.085,0.034
6447,0.9823,0.811,0.065,0.125
6448,0.9411,0.877,0.034,0.089
6449,-0.9648,0.857,0.143,0.0
6450,0.6997,0.801,0.072,0.127
6451,0.9762,0.76,0.057,0.184
6452,-0.988,0.837,0.122,0.041
6453,-0.4215,0.823,0.113,0.064
6454,-0.7783,0.899,0.101,0.0
6455,-0.7797,0.823,0.128,0.049
6456,-0.6124,0.864,0.095,0.041
6457,-0.5719,0.802,0.112,0.087
6458,0.409,0.84,0.078,0.082
6459,-0.687,0.848,0.11,0.042
6460,0.6405,0.772,0.108,0.119
6461,0.2732,0.878,0.061,0.062
6462,0.6908,0.862,0.063,0.075
6463,-0.9022,0.832,0.118,0.05
6464,0.946,0.796,0.053,0.151
6465,0.6901,0.84,0.061,0.1
6466,0.4684,0.859,0.066,0.075
6467,-0.3291,0.886,0.071,0.043
6468,-0.8807,0.875,0.089,0.036
6469,-0.8807,0.873,0.09,0.037
6470,-0.7783,0.845,0.155,0.0
6471,-0.4246,0.848,0.102,0.051
6472,-0.5719,0.853,0.1,0.047
6473,0.8964,0.817,0.078,0.104
6474,-0.991,0.649,0.269,0.082
6475,-0.8945,0.855,0.111,0.033
6476,0.891,0.813,0.071,0.116
6477,1.0,0.77,0.069,0.161
6478,-0.5574,0.896,0.073,0.032
6479,-0.1406,0.893,0.055,0.052
6480,-0.7783,0.879,0.121,0.0
6481,-0.9524,0.863,0.137,0.0
6482,-0.7506,0.865,0.111,0.024
6483,0.3612,0.851,0.07,0.079
6484,0.9188,0.897,0.045,0.059
6485,-0.7906,0.885,0.115,0.0
6486,-0.0926,0.817,0.093,0.09
6487,0.9983,0.796,0.073,0.131
6488,0.9983,0.796,0.073,0.131
6489,0.5346,0.866,0.044,0.09
6490,0.8875,0.89,0.036,0.075
6491,0.9642,0.787,0.063,0.151
6492,0.9642,0.787,0.063,0.151
6493,0.9786,0.812,0.049,0.139
6494,0.996,0.875,0.046,0.08
6495,-0.9868,0.787,0.213,0.0
6496,-0.985,0.748,0.237,0.016
6497,0.6841,0.833,0.066,0.101
6498,0.9993,0.837,0.046,0.116
6499,0.9949,0.851,0.069,0.08
6500,0.8544,0.894,0.042,0.064
6501,-0.3751,0.882,0.074,0.044
6502,-0.5299,0.866,0.079,0.055
6503,0.9955,0.827,0.025,0.149
6504,-0.25,0.859,0.08,0.061
6505,-0.7351,0.804,0.114,0.082
6506,0.9966,0.822,0.023,0.155
6507,0.9851,0.799,0.089,0.113
6508,-0.8461,0.775,0.154,0.071
6509,-0.7783,0.816,0.184,0.0
6510,0.0155,0.821,0.086,0.093
6511,-0.5467,0.888,0.067,0.044
6512,0.9926,0.731,0.104,0.165
6513,0.3095,0.85,0.073,0.076
6514,0.7311,0.834,0.062,0.105
6515,-0.8455,0.896,0.07,0.034
6516,-0.9229,0.835,0.14,0.025
6517,-0.7506,0.891,0.077,0.031
6518,-0.9769,0.794,0.19,0.016
6519,-0.5789,0.916,0.047,0.038
6520,0.8591,0.85,0.058,0.092
6521,-0.7998,0.824,0.176,0.0
6522,-0.9702,0.781,0.202,0.017
6523,-0.7783,0.918,0.082,0.0
6524,-0.9846,0.867,0.133,0.0
6525,-0.7783,0.888,0.112,0.0
6526,0.9678,0.814,0.044,0.142
6527,1.0,0.732,0.1,0.168
6528,0.25,0.88,0.06,0.06
6529,-0.7783,0.87,0.13,0.0
6530,0.7506,0.845,0.06,0.095
6531,-0.4404,0.895,0.067,0.037
6532,0.4753,0.759,0.113,0.127
6533,-0.6908,0.839,0.13,0.031
6534,0.891,0.777,0.089,0.133
6535,-0.9201,0.86,0.125,0.015
6536,-0.9274,0.839,0.161,0.0
6537,0.891,0.776,0.09,0.134
6538,-0.9302,0.842,0.129,0.029
6539,0.6404,0.79,0.093,0.117
6540,-0.7783,0.868,0.132,0.0
6541,0.9567,0.792,0.056,0.152
6542,0.9985,0.78,0.045,0.176
6543,0.128,0.772,0.117,0.111
6544,0.9948,0.783,0.085,0.132
6545,0.5411,0.797,0.089,0.114
6546,-0.6597,0.898,0.072,0.03
6547,-0.7783,0.808,0.192,0.0
6548,0.6808,0.845,0.061,0.094
6549,-0.6705,0.839,0.127,0.033
6550,-0.6249,0.798,0.125,0.077
6551,-0.09,0.903,0.049,0.048
6552,-0.4215,0.805,0.124,0.071
6553,0.5106,0.823,0.071,0.106
6554,-0.9821,0.833,0.167,0.0
6555,-0.5423,0.896,0.062,0.042
6556,0.9938,0.767,0.041,0.192
6557,0.7236,0.868,0.049,0.083
6558,0.9932,0.804,0.038,0.157
6559,-0.7783,0.876,0.124,0.0
6560,0.9986,0.754,0.067,0.179
6561,0.9559,0.849,0.055,0.096
6562,0.9922,0.861,0.038,0.101
6563,0.9954,0.863,0.033,0.104
6564,-0.8636,0.955,0.045,0.0
6565,0.9945,0.761,0.047,0.191
6566,-0.7783,0.86,0.14,0.0
6567,-0.9597,0.781,0.121,0.098
6568,-0.6705,0.858,0.113,0.029
6569,0.8006,0.839,0.076,0.085
6570,-0.6705,0.921,0.063,0.016
6571,-0.7783,0.842,0.158,0.0
6572,-0.2263,0.871,0.072,0.057
6573,0.8666,0.842,0.074,0.084
6574,-0.6705,0.848,0.12,0.031
6575,0.25,0.843,0.074,0.083
6576,0.9996,0.709,0.061,0.23
6577,-0.7783,0.836,0.164,0.0
6578,0.34,0.838,0.073,0.089
6579,0.988,0.865,0.049,0.086
6580,-0.6597,0.836,0.129,0.035
6581,-0.7828,0.841,0.111,0.048
6582,-0.8405,0.875,0.092,0.032
6583,-0.7191,0.882,0.075,0.044
6584,-0.6705,0.837,0.129,0.034
6585,-0.7783,0.902,0.098,0.0
6586,-0.872,0.833,0.126,0.041
6587,-0.7783,0.864,0.136,0.0
6588,0.904,0.815,0.079,0.106
6589,-0.9161,0.818,0.115,0.067
6590,-0.7783,0.853,0.147,0.0
6591,0.3818,0.822,0.078,0.101
6592,-0.7783,0.839,0.161,0.0
6593,0.9983,0.824,0.038,0.138
6594,0.9911,0.74,0.059,0.2
6595,0.9988,0.751,0.052,0.197
6596,0.9991,0.783,0.051,0.166
6597,-0.9886,0.811,0.181,0.008
6598,-0.7783,0.827,0.173,0.0
6599,-0.8658,0.918,0.082,0.0
6600,-0.7783,0.827,0.173,0.0
6601,0.9954,0.849,0.072,0.08
6602,-0.5267,0.848,0.083,0.07
6603,-0.6705,0.874,0.079,0.047
6604,-0.9972,0.781,0.13,0.089
6605,0.0772,0.862,0.072,0.066
6606,-0.7783,0.845,0.155,0.0
6607,-0.9393,0.878,0.097,0.026
6608,-0.7783,0.882,0.098,0.02
6609,-0.9418,0.889,0.074,0.037
6610,-0.25,0.86,0.079,0.061
6611,-0.9676,0.822,0.1,0.078
6612,-0.6249,0.835,0.127,0.039
6613,-0.925,0.833,0.089,0.078
6614,-0.8078,0.84,0.083,0.077
6615,-0.8555,0.872,0.128,0.0
6616,-0.7783,0.839,0.161,0.0
6617,-0.5994,0.853,0.11,0.036
6618,-0.1114,0.871,0.07,0.059
6619,0.9253,0.865,0.049,0.086
6620,-0.7003,0.887,0.092,0.021
6621,0.9559,0.783,0.054,0.163
6622,-0.836,0.811,0.172,0.017
6623,-0.5719,0.886,0.071,0.043
6624,0.9451,0.802,0.052,0.146
6625,-0.5994,0.845,0.1,0.055
6626,0.6458,0.841,0.076,0.082
6627,0.9736,0.813,0.068,0.119
6628,0.9824,0.814,0.065,0.121
6629,0.8807,0.767,0.085,0.148
6630,-0.9659,0.86,0.117,0.023
6631,0.9944,0.774,0.074,0.152
6632,-0.8442,0.882,0.101,0.017
6633,0.9146,0.803,0.085,0.112
6634,0.9219,0.808,0.082,0.11
6635,-0.4137,0.867,0.084,0.049
6636,0.9931,0.856,0.033,0.111
6637,0.9931,0.856,0.032,0.112
6638,-0.7351,0.82,0.117,0.063
6639,-0.5802,0.852,0.101,0.047
6640,0.504,0.851,0.066,0.083
6641,0.755,0.881,0.048,0.072
6642,-0.7219,0.884,0.093,0.023
6643,-0.9859,0.744,0.2,0.056
6644,0.6505,0.855,0.069,0.076
6645,-0.99,0.751,0.2,0.049
6646,0.7643,0.894,0.039,0.067
6647,-0.9618,0.827,0.13,0.044
6648,0.9954,0.796,0.099,0.106
6649,0.834,0.801,0.097,0.102
6650,-0.3197,0.866,0.083,0.052
6651,-0.9349,0.854,0.106,0.04
6652,-0.3178,0.843,0.079,0.078
6653,-0.936,0.871,0.093,0.036
6654,0.9977,0.792,0.071,0.138
6655,-0.9937,0.819,0.11,0.071
6656,-0.9935,0.818,0.11,0.072
6657,-0.128,0.84,0.081,0.079
6658,0.9991,0.783,0.069,0.148
6659,0.9956,0.796,0.074,0.13
6660,-0.5661,0.851,0.1,0.049
6661,0.9959,0.755,0.065,0.18
6662,-0.6412,0.864,0.106,0.031
6663,0.296,0.833,0.08,0.087
6664,0.728,0.818,0.067,0.114
6665,0.9845,0.857,0.046,0.097
6666,0.9926,0.879,0.044,0.076
6667,0.9667,0.76,0.065,0.176
6668,0.9861,0.798,0.046,0.156
6669,0.9861,0.8,0.045,0.155
6670,-0.296,0.868,0.077,0.055
6671,0.9201,0.829,0.067,0.104
6672,-0.5106,0.926,0.049,0.025
6673,0.9962,0.75,0.072,0.178
6674,0.9966,0.753,0.069,0.178
6675,-0.7845,0.902,0.079,0.019
6676,-0.8625,0.896,0.085,0.019
6677,-0.9606,0.869,0.081,0.05
6678,-0.8997,0.831,0.126,0.043
6679,-0.8625,0.896,0.085,0.019
6680,-0.9245,0.897,0.075,0.028
6681,-0.9245,0.833,0.091,0.076
6682,-0.2263,0.88,0.069,0.05
6683,-0.8808,0.889,0.111,0.0
6684,0.9745,0.849,0.06,0.091
6685,-0.7783,0.937,0.062,0.0
6686,-0.7202,0.857,0.074,0.069
6687,0.9989,0.789,0.051,0.161
6688,0.9989,0.792,0.05,0.159
6689,0.705,0.837,0.076,0.087
6690,0.9215,0.742,0.084,0.174
6691,-0.6993,0.905,0.068,0.027
6692,-0.8126,0.92,0.057,0.023
6693,-0.2732,0.93,0.04,0.03
6694,-0.7783,0.885,0.115,0.0
6695,0.3397,0.94,0.029,0.031
6696,-0.7783,0.842,0.158,0.0
6697,0.7638,0.876,0.053,0.071
6698,-0.5121,0.836,0.089,0.076
6699,0.4019,0.769,0.111,0.12
6700,0.926,0.801,0.058,0.141
6701,-0.7783,0.82,0.18,0.0
6702,0.25,0.818,0.091,0.091
6703,0.5362,0.88,0.056,0.064
6704,0.4588,0.794,0.103,0.103
6705,0.9367,0.802,0.058,0.14
6706,0.9996,0.817,0.055,0.129
6707,0.9996,0.815,0.057,0.128
6708,-0.7149,0.825,0.123,0.052
6709,0.9306,0.85,0.034,0.117
6710,-0.9707,0.903,0.075,0.022
6711,0.875,0.792,0.075,0.134
6712,-0.9474,0.872,0.1,0.028
6713,0.999,0.793,0.046,0.161
6714,-0.6486,0.845,0.111,0.044
6715,-0.3419,0.852,0.077,0.071
6716,-0.7783,0.848,0.152,0.0
6717,-0.6135,0.845,0.084,0.071
6718,-0.9127,0.842,0.143,0.015
6719,-0.9538,0.904,0.075,0.02
6720,-0.4588,0.869,0.085,0.046
6721,-0.8591,0.765,0.157,0.078
6722,0.9935,0.774,0.033,0.193
6723,-0.6705,0.868,0.105,0.027
6724,0.9842,0.714,0.056,0.23
6725,0.949,0.707,0.08,0.213
6726,0.9774,0.65,0.074,0.276
6727,0.9943,0.739,0.043,0.218
6728,0.9846,0.81,0.067,0.123
6729,-0.8818,0.876,0.082,0.041
6730,0.8924,0.768,0.091,0.14
6731,0.9883,0.772,0.072,0.156
6732,0.8126,0.736,0.115,0.15
6733,0.9894,0.727,0.045,0.228
6734,0.9894,0.727,0.045,0.228
6735,0.9665,0.67,0.099,0.231
6736,-0.9308,0.806,0.133,0.061
6737,-0.128,0.849,0.081,0.07
6738,0.0772,0.815,0.091,0.094
6739,0.9784,0.76,0.071,0.169
6740,0.9682,0.828,0.074,0.099
6741,-0.7783,0.855,0.145,0.0
6742,0.9959,0.771,0.11,0.12
6743,0.9913,0.782,0.033,0.185
6744,0.7351,0.86,0.048,0.092
6745,-0.6249,0.891,0.083,0.026
6746,0.945,0.842,0.044,0.114
6747,0.971,0.794,0.044,0.162
6748,-0.7552,0.882,0.07,0.048
6749,-0.7579,0.889,0.097,0.014
6750,-0.9992,0.78,0.118,0.103
6751,-0.7783,0.934,0.066,0.0
6752,-0.6249,0.794,0.127,0.078
6753,-0.743,0.844,0.125,0.031
6754,-0.7783,0.876,0.124,0.0
6755,0.9904,0.841,0.042,0.117
6756,0.9607,0.843,0.039,0.118
6757,0.4215,0.832,0.078,0.09
6758,0.9944,0.761,0.103,0.136
6759,0.9794,0.765,0.044,0.192
6760,0.9666,0.897,0.023,0.08
6761,0.1263,0.828,0.09,0.082
6762,0.9419,0.894,0.035,0.07
6763,-0.5675,0.837,0.091,0.073
6764,-0.8451,0.846,0.154,0.0
6765,0.995,0.799,0.067,0.134
6766,-0.4019,0.806,0.105,0.089
6767,0.9769,0.904,0.024,0.072
6768,0.3592,0.841,0.068,0.091
6769,0.7882,0.793,0.095,0.112
6770,-0.755,0.833,0.131,0.036
6771,-0.7998,0.84,0.16,0.0
6772,-0.7998,0.837,0.163,0.0
6773,-0.8156,0.841,0.104,0.055
6774,0.9973,0.775,0.095,0.13
6775,0.9929,0.851,0.034,0.116
6776,-0.0588,0.808,0.107,0.086
6777,-0.6369,0.846,0.111,0.042
6778,-0.7783,0.848,0.152,0.0
6779,0.5423,0.86,0.062,0.078
6780,0.9648,0.762,0.055,0.183
6781,-0.7783,0.866,0.134,0.0
6782,-0.0431,0.798,0.115,0.087
6783,-0.6808,0.905,0.07,0.025
6784,0.9613,0.895,0.036,0.07
6785,0.9662,0.896,0.035,0.07
6786,-0.9898,0.882,0.087,0.031
6787,0.9528,0.872,0.042,0.086
6788,-0.7998,0.84,0.16,0.0
6789,-0.7219,0.898,0.082,0.02
6790,-0.5106,0.844,0.103,0.053
6791,0.8463,0.887,0.04,0.073
6792,-0.6597,0.902,0.064,0.034
6793,0.2974,0.826,0.072,0.101
6794,-0.7783,0.85,0.15,0.0
6795,-0.9638,0.832,0.135,0.034
6796,-0.7783,0.858,0.142,0.0
6797,-0.9001,0.821,0.119,0.059
6798,0.1027,0.806,0.095,0.099
6799,-0.91,0.849,0.151,0.0
6800,0.9674,0.884,0.048,0.068
6801,-0.7311,0.875,0.105,0.02
6802,-0.7783,0.823,0.177,0.0
6803,-0.5023,0.871,0.074,0.055
6804,-0.6124,0.864,0.095,0.041
6805,0.9909,0.74,0.045,0.215
6806,-0.7825,0.857,0.099,0.044
6807,0.9944,0.761,0.103,0.136
6808,-0.8625,0.828,0.172,0.0
6809,0.9805,0.876,0.051,0.072
6810,-0.7825,0.844,0.108,0.048
6811,0.9871,0.832,0.042,0.126
6812,-0.7783,0.761,0.239,0.0
6813,-0.7695,0.832,0.115,0.054
6814,-0.7783,0.845,0.155,0.0
6815,0.5106,0.75,0.109,0.141
6816,-0.6124,0.826,0.121,0.052
6817,0.9976,0.764,0.042,0.194
6818,-0.9812,0.874,0.098,0.028
6819,0.9041,0.775,0.077,0.148
6820,-0.9809,0.872,0.098,0.03
6821,-0.9804,0.871,0.096,0.032
6822,0.9988,0.692,0.125,0.183
6823,0.9958,0.803,0.063,0.133
6824,-0.5647,0.834,0.105,0.061
6825,0.933,0.704,0.085,0.211
6826,-0.1372,0.862,0.081,0.057
6827,-0.7783,0.874,0.126,0.0
6828,-0.6705,0.893,0.085,0.022
6829,0.0258,0.898,0.054,0.048
6830,-0.7783,0.833,0.167,0.0
6831,0.9947,0.786,0.066,0.148
6832,-0.7489,0.829,0.107,0.065
6833,-0.8241,0.803,0.111,0.086
6834,-0.0772,0.866,0.073,0.062
6835,0.2732,0.814,0.087,0.099
6836,-0.0516,0.828,0.087,0.085
6837,0.9902,0.72,0.042,0.238
6838,0.9552,0.758,0.066,0.176
6839,0.9741,0.732,0.064,0.203
6840,0.991,0.753,0.043,0.204
6841,0.9935,0.803,0.073,0.124
6842,0.465,0.668,0.151,0.181
6843,-0.6705,0.858,0.113,0.029
6844,0.4588,0.855,0.062,0.083
6845,0.9919,0.796,0.075,0.13
6846,0.9978,0.771,0.073,0.156
6847,0.9321,0.738,0.078,0.184
6848,0.9976,0.804,0.063,0.133
6849,-0.6597,0.838,0.106,0.056
6850,-0.8316,0.912,0.079,0.01
6851,0.9976,0.806,0.066,0.129
6852,-0.7783,0.848,0.152,0.0
6853,-0.6868,0.844,0.123,0.033
6854,0.9976,0.805,0.066,0.129
6855,0.9979,0.801,0.065,0.134
6856,0.5007,0.785,0.097,0.119
6857,0.9978,0.802,0.066,0.131
6858,0.9985,0.808,0.058,0.133
6859,0.9762,0.837,0.052,0.111
6860,0.9628,0.753,0.057,0.19
6861,0.944,0.858,0.037,0.105
6862,-0.9796,0.864,0.077,0.059
6863,-0.5106,0.853,0.097,0.05
6864,-0.762,0.74,0.191,0.069
6865,0.3818,0.845,0.075,0.08
6866,0.9663,0.801,0.05,0.149
6867,0.9081,0.841,0.047,0.112
6868,0.5423,0.916,0.037,0.047
6869,-0.5661,0.862,0.093,0.046
6870,-0.7219,0.882,0.095,0.023
6871,0.8858,0.847,0.047,0.107
6872,0.9018,0.824,0.069,0.107
6873,-0.1779,0.81,0.105,0.085
6874,0.9475,0.79,0.082,0.127
6875,-0.7424,0.829,0.102,0.069
6876,-0.8574,0.827,0.105,0.068
6877,0.9592,0.84,0.055,0.105
6878,-0.5204,0.824,0.108,0.068
6879,0.9799,0.797,0.069,0.134
6880,0.8934,0.845,0.055,0.1
6881,0.7579,0.829,0.072,0.1
6882,-0.4215,0.81,0.121,0.069
6883,0.2323,0.849,0.077,0.074
6884,0.644,0.87,0.055,0.075
6885,0.7998,0.879,0.041,0.08
6886,0.91,0.836,0.058,0.106
6887,-0.9999,0.776,0.143,0.081
6888,-0.4588,0.884,0.075,0.041
6889,-0.6486,0.908,0.071,0.02
6890,0.9538,0.814,0.05,0.136
6891,-0.5994,0.852,0.095,0.053
6892,0.6321,0.799,0.089,0.112
6893,-0.3919,0.916,0.05,0.034
6894,-0.9783,0.759,0.143,0.098
6895,-0.992,0.791,0.205,0.004
6896,0.0164,0.866,0.069,0.064
6897,0.34,0.85,0.066,0.084
6898,0.8658,0.831,0.055,0.113
6899,-0.296,0.916,0.045,0.039
6900,-0.9274,0.928,0.072,0.0
6901,-0.7783,0.896,0.104,0.0
6902,-0.4767,0.881,0.072,0.047
6903,-0.6486,0.809,0.148,0.042
6904,-0.9641,0.82,0.116,0.064
6905,0.9705,0.752,0.051,0.197
6906,-0.9997,0.777,0.128,0.095
6907,-0.5994,0.79,0.158,0.052
6908,0.8074,0.854,0.049,0.096
6909,0.4767,0.847,0.068,0.085
6910,-0.7579,0.835,0.144,0.021
6911,-0.846,0.849,0.092,0.059
6912,-0.7783,0.839,0.161,0.0
6913,-0.3076,0.853,0.086,0.062
6914,-0.7081,0.858,0.098,0.044
6915,-0.9938,0.849,0.092,0.059
6916,-0.6705,0.837,0.129,0.034
6917,-0.7684,0.851,0.131,0.017
6918,-0.7059,0.863,0.11,0.028
6919,-0.504,0.901,0.064,0.034
6920,-0.9425,0.843,0.126,0.031
6921,-0.6705,0.842,0.126,0.033
6922,0.9924,0.792,0.084,0.125
6923,-0.9935,0.856,0.087,0.057
6924,-0.6705,0.86,0.111,0.029
6925,0.9798,0.703,0.115,0.181
6926,-0.6249,0.859,0.108,0.033
6927,-0.9246,0.889,0.095,0.016
6928,-0.7783,0.87,0.13,0.0
6929,0.7608,0.862,0.05,0.088
6930,0.34,0.819,0.089,0.092
6931,0.8714,0.851,0.05,0.098
6932,-0.9371,0.891,0.086,0.023
6933,-0.0772,0.825,0.094,0.08
6934,0.5904,0.872,0.048,0.08
6935,-0.743,0.829,0.146,0.025
6936,0.6134,0.836,0.066,0.098
6937,0.9861,0.795,0.078,0.126
6938,0.7698,0.81,0.083,0.106
6939,0.9969,0.727,0.088,0.185
6940,-0.7983,0.806,0.139,0.055
6941,0.9969,0.731,0.088,0.182
6942,0.9225,0.79,0.063,0.147
6943,0.997,0.73,0.086,0.184
6944,0.9843,0.795,0.079,0.126
6945,-0.5859,0.793,0.142,0.065
6946,0.9674,0.813,0.047,0.139
6947,0.9486,0.806,0.068,0.125
6948,-0.7494,0.689,0.217,0.094
6949,-0.9087,0.827,0.173,0.0
6950,-0.296,0.854,0.089,0.057
6951,-0.5423,0.905,0.069,0.026
6952,0.7579,0.872,0.049,0.079
6953,-0.8788,0.837,0.139,0.024
6954,-0.2263,0.916,0.038,0.046
6955,-0.8788,0.836,0.14,0.024
6956,-0.8611,0.857,0.093,0.05
6957,-0.6197,0.832,0.091,0.077
6958,0.8799,0.853,0.049,0.098
6959,-0.8176,0.876,0.085,0.038
6960,-0.6705,0.918,0.065,0.017
6961,0.1779,0.912,0.035,0.053
6962,-0.4019,0.795,0.13,0.075
6963,0.9917,0.818,0.051,0.131
6964,0.725,0.751,0.107,0.142
6965,-0.9821,0.797,0.176,0.027
6966,0.9974,0.873,0.031,0.096
6967,-0.9648,0.81,0.138,0.053
6968,0.4057,0.802,0.101,0.098
6969,0.2848,0.803,0.092,0.105
6970,0.9972,0.778,0.068,0.154
6971,0.9201,0.844,0.043,0.113
6972,-0.5994,0.834,0.106,0.059
6973,0.9979,0.759,0.111,0.13
6974,-0.7969,0.799,0.113,0.088
6975,0.8614,0.718,0.111,0.172
6976,-0.9692,0.865,0.083,0.052
6977,-0.6486,0.832,0.131,0.037
6978,-0.7284,0.829,0.105,0.066
6979,0.9996,0.788,0.072,0.14
6980,0.9996,0.789,0.071,0.139
6981,-0.0603,0.923,0.043,0.035
6982,0.9972,0.874,0.034,0.092
6983,-0.913,0.745,0.176,0.08
6984,-0.5171,0.892,0.064,0.043
6985,0.8738,0.855,0.059,0.086
6986,-0.3182,0.84,0.099,0.062
6987,0.8473,0.795,0.082,0.123
6988,0.8794,0.809,0.077,0.114
6989,-0.6652,0.864,0.099,0.038
6990,-0.4939,0.839,0.106,0.055
6991,-0.6705,0.842,0.126,0.033
6992,0.9571,0.893,0.023,0.084
6993,-0.3818,0.816,0.116,0.068
6994,-0.9951,0.746,0.148,0.106
6995,-0.9935,0.755,0.138,0.107
6996,-0.9929,0.763,0.132,0.105
6997,-0.7579,0.823,0.154,0.023
6998,-0.9953,0.766,0.134,0.1
6999,-0.993,0.777,0.124,0.099
7000,-0.4767,0.818,0.111,0.072
7001,0.5994,0.815,0.066,0.118
7002,0.7901,0.792,0.079,0.129
7003,0.9946,0.719,0.052,0.229
7004,-0.4767,0.783,0.131,0.086
7005,0.2677,0.83,0.081,0.089
7006,0.3818,0.862,0.07,0.068
7007,-0.908,0.796,0.178,0.026
7008,-0.7096,0.862,0.113,0.024
7009,0.2677,0.83,0.081,0.089
7010,-0.8313,0.832,0.117,0.051
7011,-0.6964,0.866,0.088,0.046
7012,-0.7783,0.833,0.167,0.0
7013,-0.6705,0.856,0.114,0.03
7014,-0.886,0.795,0.205,0.0
7015,0.9055,0.873,0.039,0.088
7016,0.9214,0.84,0.044,0.116
7017,-0.9668,0.832,0.159,0.01
7018,0.8481,0.804,0.064,0.132
7019,0.9682,0.802,0.043,0.155
7020,-0.9867,0.744,0.233,0.023
7021,0.9272,0.836,0.045,0.119
7022,0.9761,0.817,0.06,0.123
7023,0.9485,0.83,0.067,0.103
7024,0.9809,0.829,0.052,0.118
7025,0.9807,0.833,0.051,0.116
